    T(GeV)          p(GeV)     A(p,T)(1/fm)
  0.2200000       14.80000      4.4784982E-02
  0.2200000       15.00000      4.4423945E-02
  0.2200000       15.20000      4.4073343E-02
  0.2200000       15.40000      4.3732718E-02
  0.2200000       15.60000      4.3401603E-02
  0.2200000       15.80000      4.3079577E-02
  0.2200000       16.00000      4.2766247E-02
  0.2200000       16.20000      4.2461261E-02
  0.2200000       16.40000      4.2164244E-02
  0.2200000       16.60000      4.1874886E-02
  0.2200000       16.80000      4.1592859E-02
  0.2200000       17.00000      4.1317876E-02
  0.2200000       17.20000      4.1049652E-02
  0.2200000       17.40000      4.0787932E-02
  0.2200000       17.60000      4.0532451E-02
  0.2200000       17.80000      4.0282983E-02
  0.2200000       18.00000      4.0039308E-02
  0.2200000       18.20000      3.9801203E-02
  0.2200000       18.40000      3.9568473E-02
  0.2200000       18.60000      3.9340906E-02
  0.2200000       18.80000      3.9118338E-02
  0.2200000       19.00000      3.8900599E-02
  0.2200000       19.20000      3.8687494E-02
  0.2200000       19.40000      3.8478896E-02
  0.2200000       19.60000      3.8274627E-02
  0.2200000       19.80000      3.8074564E-02
  0.2200000       20.00000      3.7878558E-02
  0.2200000       20.20000      3.7686475E-02
  0.2200000       20.40000      3.7498195E-02
  0.2200000       20.60000      3.7313595E-02
  0.2200000       20.80000      3.7132557E-02
  0.2200000       21.00000      3.6954980E-02
  0.2200000       21.20000      3.6780756E-02
  0.2200000       21.40000      3.6609773E-02
  0.2200000       21.60000      3.6441930E-02
  0.2200000       21.80000      3.6277156E-02
  0.2200000       22.00000      3.6115352E-02
  0.2200000       22.20000      3.5956413E-02
  0.2200000       22.40000      3.5800293E-02
  0.2200000       22.60000      3.5646886E-02
  0.2200000       22.80000      3.5496119E-02
  0.2200000       23.00000      3.5347920E-02
  0.2200000       23.20000      3.5202213E-02
  0.2200000       23.40000      3.5058949E-02
  0.2200000       23.60000      3.4918040E-02
  0.2200000       23.80000      3.4779441E-02
  0.2200000       24.00000      3.4643080E-02
  0.2200000       24.20000      3.4508917E-02
  0.2200000       24.40000      3.4376856E-02
  0.2200000       24.60000      3.4246877E-02
  0.2200000       24.80000      3.4118921E-02
  0.2200000       25.00000      3.3992928E-02
  0.2200000       25.20000      3.3868864E-02
  0.2200000       25.40000      3.3746663E-02
  0.2200000       25.60000      3.3626288E-02
  0.2200000       25.80000      3.3507690E-02
  0.2200000       26.00000      3.3390850E-02
  0.2200000       26.20000      3.3275682E-02
  0.2200000       26.40000      3.3162195E-02
  0.2200000       26.60000      3.3050317E-02
  0.2200000       26.80000      3.2940023E-02
  0.2200000       27.00000      3.2831270E-02
  0.2200000       27.20000      3.2724038E-02
  0.2200000       27.40000      3.2618277E-02
  0.2200000       27.60000      3.2513950E-02
  0.2200000       27.80000      3.2411039E-02
  0.2200000       28.00000      3.2309502E-02
  0.2200000       28.20000      3.2209322E-02
  0.2200000       28.40000      3.2110464E-02
  0.2200000       28.60000      3.2012902E-02
  0.2200000       28.80000      3.1916596E-02
  0.2200000       29.00000      3.1821530E-02
  0.2200000       29.20000      3.1727683E-02
  0.2200000       29.40000      3.1635005E-02
  0.2200000       29.60000      3.1543501E-02
  0.2200000       29.80000      3.1453133E-02
  0.2200000       30.00000      3.1363886E-02
  0.2400000      0.0000000E+00  0.3057201    
  0.2400000      0.2000000      0.3038382    
  0.2400000      0.4000000      0.3001867    
  0.2400000      0.6000000      0.2936981    
  0.2400000      0.8000000      0.2840018    
  0.2400000       1.000000      0.2733647    
  0.2400000       1.200000      0.2623934    
  0.2400000       1.400000      0.2511173    
  0.2400000       1.600000      0.2398928    
  0.2400000       1.800000      0.2289588    
  0.2400000       2.000000      0.2184730    
  0.2400000       2.200000      0.2085462    
  0.2400000       2.400000      0.1992268    
  0.2400000       2.600000      0.1905151    
  0.2400000       2.800000      0.1823961    
  0.2400000       3.000000      0.1748409    
  0.2400000       3.200000      0.1678192    
  0.2400000       3.400000      0.1612931    
  0.2400000       3.600000      0.1552280    
  0.2400000       3.800000      0.1495850    
  0.2400000       4.000000      0.1443300    
  0.2400000       4.200000      0.1394292    
  0.2400000       4.400000      0.1348532    
  0.2400000       4.600000      0.1305735    
  0.2400000       4.800000      0.1265654    
  0.2400000       5.000000      0.1228059    
  0.2400000       5.200000      0.1192740    
  0.2400000       5.400000      0.1159505    
  0.2400000       5.600000      0.1128195    
  0.2400000       5.800000      0.1098637    
  0.2400000       6.000000      0.1070705    
  0.2400000       6.200000      0.1044263    
  0.2400000       6.400000      0.1019203    
  0.2400000       6.600000      9.9542111E-02
  0.2400000       6.800000      9.7282186E-02
  0.2400000       7.000000      9.5131844E-02
  0.2400000       7.200000      9.3083508E-02
  0.2400000       7.400000      9.1130063E-02
  0.2400000       7.600000      8.9264847E-02
  0.2400000       7.800000      8.7482147E-02
  0.2400000       8.000000      8.5776523E-02
  0.2400000       8.200000      8.4143057E-02
  0.2400000       8.400001      8.2577005E-02
  0.2400000       8.600000      8.1074372E-02
  0.2400000       8.800000      7.9631262E-02
  0.2400000       9.000000      7.8244142E-02
  0.2400000       9.200000      7.6910123E-02
  0.2400000       9.400001      7.5625911E-02
  0.2400000       9.600000      7.4388042E-02
  0.2400000       9.800000      7.3194429E-02
  0.2400000       10.00000      7.2061509E-02
  0.2400000       10.20000      7.0984572E-02
  0.2400000       10.40000      6.9959335E-02
  0.2400000       10.60000      6.8982005E-02
  0.2400000       10.80000      6.8049155E-02
  0.2400000       11.00000      6.7157641E-02
  0.2400000       11.20000      6.6304632E-02
  0.2400000       11.40000      6.5487556E-02
  0.2400000       11.60000      6.4704090E-02
  0.2400000       11.80000      6.3952066E-02
  0.2400000       12.00000      6.3229539E-02
  0.2400000       12.20000      6.2534697E-02
  0.2400000       12.40000      6.1865903E-02
  0.2400000       12.60000      6.1221637E-02
  0.2400000       12.80000      6.0600486E-02
